1 | 11/01/2019 | 13/01/2019
4 | 12/03/2019 | 17/03/2019
3 | 13/05/2019 | 20/05/2019
6 | 14/07/2019 | 21/07/2019
2 | 15/08/2019 | 22/08/2019
1 | 16/09/2019 | 23/09/2019
3 | 17/09/2019 | 24/09/2019
5 | 02/10/2019 | 10/10/2019
6 | 19/10/2019 | 26/10/2019
4 | 19/01/2020 | 26/01/2020
2 | 11/02/2020 | 22/02/2020
2 | 16/03/2020 | 20/03/2020
5 | 20/03/2020 | 24/03/2020
4 | 24/03/2020 | 30/03/2020
2 | 01/04/2020 | 05/04/2020
3 | 01/04/2020 | 05/04/2020
5 | 02/04/2020 | 13/04/2020
1 | 05/05/2020 | 15/05/2020
2 | 10/06/2020 | 13/06/2020
1 | 08/07/2020 | 10/07/2020
3 | 10/07/2020 | 15/07/2020
2 | 16/08/2020 | 20/08/2020
6 | 20/09/2020 | 24/09/2020
4 | 24/09/2020 | 26/09/2020
2 | 26/09/2020 | 30/09/2020
6 | 20/10/2020 | 26/10/2020
4 | 26/11/2020 | 27/11/2020
2 | 08/12/2020 | 13/12/2020
2 | 13/12/2020 | 13/12/2020
6 | 13/12/2020 | 13/12/2020
3 | 13/12/2020 | 13/12/2020
1 | 14/12/2020 | 14/12/2020
6 | 14/12/2020 | 14/12/2020
6 | 15/12/2020 | 15/12/2020
